NVMe_total_util,CPU,Memory_used,Goodput,num_workers
0.0,0.016444444439063493,0.914640896,0.0,0.32
0.9627000000002226,0.5712222222135298,0.913272832,0.7487250432,0.32
0.8542000000001282,0.38622222224043457,0.9133456497777778,0.5023588352000001,0.32
0.8132999999999809,0.36188888887150417,0.913444864,0.6021801574400001,0.32
0.9545000000001891,0.672555555589497,0.9157035804444444,0.78384922624,0.32
0.9680999999998675,0.7374444444353383,0.9134617031111111,0.88521588736,0.32
0.9599999999996727,0.7117777777525284,0.913637376,0.82306514944,0.32
0.9594999999997527,0.6468888889170356,0.9133961671111112,0.8801201356800001,0.32
0.9253000000000611,0.6327777778108914,0.9157486364444445,0.82864504832,0.32
0.9598000000005414,0.6467777777980601,0.9133975324444444,0.9060871372799999,0.32
0.941299999999683,0.6112222222507828,0.9134193777777778,0.80565600256,0.32
0.9510000000000217,0.6424444444477557,0.9134539662222222,0.85298249728,0.32
0.956500000000051,0.6742222222189108,0.9156284871111111,0.853536768,0.32
0.9484999999996944,0.648666666665425,0.9133975324444444,0.85770452992,0.32
0.9270000000000435,0.6442222222375373,0.9135012977777778,0.9147585331200001,0.32
0.9588999999998121,0.6898888889182773,0.9134152817777778,0.85266366464,0.32
0.9255999999995763,0.6075555555108519,0.9156917475555556,0.8057926451199999,0.32
0.9453999999999723,0.6431111110788252,0.9134321208888889,0.77777846272,0.32
0.9461999999997716,0.6608888888938561,0.9135823075555556,0.88778735616,0.32
0.9317000000000915,0.6243333333068425,0.9133606684444444,0.81026891776,0.32
0.9546000000000278,0.6867777777939207,0.9156089173333334,0.82208669696,0.32
0.9424999999999274,0.6230000000136596,0.9132450702222222,0.8026864025600001,0.32
0.9357000000001792,0.6353333333093258,0.9135190471111111,0.7849272934399999,0.32
0.9411999999998444,0.634555555548933,0.9136182613333333,0.8180529561600001,0.32
0.9471999999999754,0.669555555584116,0.9159616284444444,0.8983925555200001,0.32
0.9474999999998547,0.6542222221899363,0.9132778382222222,0.8254056038399998,0.32
0.9619999999997163,0.7043333333503041,0.9133561173333333,0.91116355584,0.32
0.9290999999997437,0.6081111111160782,0.9131062613333333,0.77237436416,0.32
0.9586000000001147,0.68477777780758,0.9158847146666667,0.79877865472,0.32
0.9481999999999972,0.6778888888864052,0.913297408,0.8685305856,0.32
0.9662000000000263,0.6952222222358815,0.9134348515555556,0.7893127987199999,0.32
0.9555000000000291,0.6484444444274736,0.9134475946666667,0.84936818688,0.32
0.9570000000001528,0.6692222221857973,0.9158642346666667,0.84584595456,0.32
0.9515000000001236,0.6565555555435517,0.9133652195555556,0.84365131776,0.32
