NVMe_total_util,CPU,Memory_used,Goodput,num_workers
0.0,0.00966666665756041,0.914833408,0.0,0.74
0.9785000000001675,0.5972222222118744,0.9180464924444445,0.7540252467199999,0.74
0.9386999999996986,0.4653333333424395,0.9166756977777778,0.65305280512,0.74
0.9105999999999768,0.5939999999892379,0.916570112,0.8087796940800001,0.74
0.9182999999999085,0.6329999999971027,0.9163580302222222,1.0326188032,0.74
0.9367999999998575,0.7001111111189756,0.9183213795555556,0.95745529856,0.74
0.9642999999998211,0.7840000000161428,0.9161814471111112,1.10656946176,0.74
0.9507999999999811,0.6954444444117445,0.9161632426666667,0.81369055232,0.74
0.9414000000000671,0.6791111111123529,0.9160881493333334,0.8577430323199999,0.74
0.9504000000000815,0.7352222222110465,0.9182203448888889,0.8086062694399999,0.74
0.9567999999999303,0.7113333333283661,0.9162369706666667,1.0025682534399998,0.74
0.9492999999998576,0.6843333333420255,0.9162442524444444,0.94107490304,0.74
0.9515999999997802,0.7403333333424396,0.9159780124444444,0.92872343552,0.74
0.9661999999998442,0.7502222222586473,0.9184164977777778,0.88746246144,0.74
0.9175999999999476,0.6080000000281466,0.9160553813333333,0.8643089203199998,0.74
0.9421999999996843,0.7459999999859268,0.9162328746666667,0.82741848064,0.74
0.9114000000001397,0.6383333333250549,0.9159133866666667,0.8516188569600001,0.74
0.932499999999891,0.6288888889054458,0.9186304,0.8800892928,0.74
0.9523000000002867,0.689666666680326,0.9159206684444444,0.9308708864,0.74
0.9441999999999099,0.6944444444030522,0.9162802062222222,0.8993032192,0.74
0.964100000000144,0.7306666667055751,0.9158774328888889,0.88781553664,0.74
0.9309000000001104,0.6715555555601085,0.9185516657777778,0.81726574592,0.74
0.9371999999997568,0.6915555555269948,0.9161332053333333,0.87281156096,0.74
0.9445000000003346,0.7222222222429182,0.916729856,0.8429320806399999,0.74
0.9462000000001353,0.7211111111255986,0.9161486791111111,0.9395765247999998,0.74
0.975,0.7665555555373429,0.9183614293333333,0.9655369728,0.74
0.9593999999997322,0.7272222222139438,0.9161659733333334,0.77733740544,0.74
0.9549000000002706,0.7656666666786704,0.9164108231111111,0.96446529536,0.74
0.9650000000001453,0.7472222222015259,0.9159752817777778,1.0248134656,0.74
0.9655999999999041,0.6635555555423099,0.9182444657777777,0.84255932416,0.74
0.9668000000001484,0.7363333333594103,0.9160012231111111,0.8914277171200001,0.74
0.9286999999998442,0.6184444444564483,0.916238336,0.77346275328,0.74
