NVMe_from_ceph,NVMe_from_transfer,NVMe_total_util,CPU,Goodput,Memory_used,NIC_speed,Packet_losses,network_throughput,CPU_count,Memory_total,Storage_count,num_workers
0.0,85354086.39999998,0.2920000000158325,0.2959999997168783,85354086.39999998,11046621184.0,100000000000.0,1.6,85540199.2,16.0,34359740000.0,8.0,50.0
134217728.0,1229979648.0,5.837599999993109,1.2199999991804362,1229979648.0,11086905344.0,100000000000.0,1.4,1232059155.2,16.0,34359740000.0,8.0,50.0
134257049.6,1206072115.1999998,5.599200000031851,1.0859999995678664,1206072115.1999998,11048697856.0,100000000000.0,1.6,1207625755.0,16.0,34359740000.0,8.0,50.0
134217728.0,1229769932.8,5.814400000008754,1.436000001057982,1229769932.8,11048697856.0,100000000000.0,1.4,1232709666.8,16.0,34359740000.0,8.0,50.0
134529024.0,1276746137.6000001,6.098399999993853,1.0939999982714657,1276746137.6000001,11048710144.0,100000000000.0,1.4,1279121134.2,16.0,34359740000.0,8.0,50.0
19922944.0,1272132403.2,5.679200000013225,1.2180000007152558,1272132403.2,11066884096.0,100000000000.0,1.6,1274710337.4,16.0,34359740000.0,8.0,50.0
20381696.000000004,1211944140.8,5.781599999987519,1.0440000005066397,1211944140.8,11049619456.0,100000000000.0,1.0,1213921665.0,16.0,34359740000.0,8.0,50.0
19922943.999999996,1548012748.7999997,6.64000000001397,1.5599999997764828,1548012748.7999997,11070144512.0,100000000000.0,1.6,1550192516.2,16.0,34359740000.0,8.0,50.0
20404633.6,1667655270.3999999,6.921600000024773,1.2399999998509883,1667655270.3999999,11070160896.0,100000000000.0,1.8,1670608842.2,16.0,34359740000.0,8.0,68.0
69206016.0,1438226841.6,6.543199999956414,1.3040000010281805,1438226841.6,11088388096.0,100000000000.0,1.6,1440649028.4,16.0,34359740000.0,8.0,68.0
69664768.0,1598029824.0,6.8727999999653555,1.2440000001341103,1598029824.0,11070685184.0,100000000000.0,1.4,1601005305.0,16.0,34359740000.0,8.0,68.0
69206016.0,1490131353.6,6.59680000001099,1.6399999991059304,1490131353.6,11066597376.0,100000000000.0,2.0,1492974355.8,16.0,34359740000.0,8.0,68.0
69602508.8,1515192320.0,6.853599999961444,1.1759999979287388,1515192320.0,11066613760.0,100000000000.0,1.8,1517628208.6,16.0,34359740000.0,8.0,68.0
158334976.0,1612500172.8000002,6.940800000028686,1.421999999508262,1612500172.8000002,11084455936.0,100000000000.0,1.6,1615193375.6,16.0,34359740000.0,8.0,68.0
158502092.79999998,1584923443.2,7.0120000000111755,1.230000001937151,1584923443.2,11066630144.0,100000000000.0,1.2,1587987326.4,16.0,34359740000.0,8.0,68.0
158334976.00000003,1562483097.6000001,6.84000000001397,1.5799999997019771,1562483097.6000001,11045736448.0,100000000000.0,2.2,1565160051.8,16.0,34359740000.0,8.0,68.0
158711808.0,1573389107.2,7.062400000053458,1.2419999994337563,1573389107.2,11045748736.0,100000000000.0,1.4,1572852643.2,16.0,34359740000.0,8.0,50.0
