NVMe_from_ceph,NVMe_from_transfer,NVMe_total_util,CPU,Goodput,Memory_used,NIC_speed,Packet_losses,network_throughput,CPU_count,Memory_total,Storage_count,num_workers
38921830.4,1476185292.8,6.790400000009686,1.1899999991059302,1476185292.8,11048378368.0,100000000000.0,1.6,1478619437.6,16.0,34359740000.0,8.0,57.0
69219123.2,1465280102.3999999,6.548800000059418,1.3060000002384187,1465280102.3999999,11066339328.0,100000000000.0,1.2,1468107236.8,16.0,34359740000.0,8.0,57.0
69363302.4,1418407936.0,6.4192000000039116,1.1560000002384185,1418407936.0,11068755968.0,100000000000.0,1.2,1417795280.0,16.0,34359740000.0,8.0,57.0
69219123.2,1486566195.2,6.699199999962001,1.5379999995231628,1486566195.2,11068751872.0,100000000000.0,1.2,1489220164.0,16.0,34359740000.0,8.0,57.0
69356748.8,1472620134.3999999,6.76480000000447,1.170000000298023,1472620134.3999999,11068788736.0,100000000000.0,1.2,1475259266.2,16.0,34359740000.0,8.0,57.0
69219123.2,800692633.6,4.610399999958463,0.9100000005215406,800692633.6,11086901248.0,100000000000.0,1.4,802305182.4,16.0,34359740000.0,8.0,57.0
69323980.8,1530501529.6000001,6.640000000013971,1.1979999996721746,1530501529.6000001,11068760064.0,100000000000.0,1.6,1533210244.0,16.0,34359740000.0,8.0,57.0
69206016.0,1411383295.9999998,6.524800000013784,1.4660000003874298,1411383295.9999998,11068796928.0,100000000000.0,1.6,1414031728.4,16.0,34359740000.0,8.0,57.0
69206016.0,1522112921.6,6.712799999956041,1.2000000003725293,1522112921.6,11068674048.0,100000000000.0,1.4,1524908074.8,16.0,34359740000.0,8.0,57.0
139460608.0,1476499865.5999997,6.6936000000452625,1.3420000005513426,1476499865.5999997,11085979648.0,100000000000.0,1.2,1479016477.2,16.0,34359740000.0,8.0,57.0
139460608.0,1523580928.0,6.80319999998901,1.2460000012069943,1523580928.0,11047768064.0,100000000000.0,1.4,1525572921.4,16.0,34359740000.0,8.0,57.0
139460608.0,1486985625.5999997,6.854400000046007,1.5380000006407504,1486985625.5999997,11048230912.0,100000000000.0,1.8,1490303313.6,16.0,34359740000.0,8.0,57.0
139880038.4,1548955648.0,6.7960000000428415,1.2640000011771912,1548955648.0,11047792640.0,100000000000.0,2.0,1548207876.4,16.0,34359740000.0,8.0,57.0
70254592.0,1542035865.6000001,6.8919999999925485,1.3399999987334015,1542035865.6000001,11065384960.0,100000000000.0,1.4,1544225082.8,16.0,34359740000.0,8.0,57.0
70254592.0,1441478246.4,6.478400000021793,1.1280000004917385,1441478246.4,11049459712.0,100000000000.0,1.2,1443496296.2,16.0,34359740000.0,8.0,57.0
70254592.0,1471990988.8000002,6.611199999996462,1.5179999995976687,1471990988.8000002,11069788160.0,100000000000.0,1.2,1474791739.8,16.0,34359740000.0,8.0,57.0
70254592.0,1461819801.6000001,6.738399999961256,1.197999999299646,1461819801.6000001,11069808640.0,100000000000.0,1.2,1464428074.8,16.0,34359740000.0,8.0,
