NVMe_total_util,CPU,Memory_used,num_workers
0.751847,0.115282774,0.8919166,0.01
0.755296,0.116606385,0.8927354999999999,0.01
0.75724447,0.11462392,0.8939625,0.01
0.75271803,0.11603196,0.89261055,0.01
0.751847,0.115282774,0.8919166,0.02
0.755296,0.116606385,0.8927354999999999,0.02
0.75724447,0.11462392,0.8939625,0.02
0.75271803,0.11603196,0.89261055,0.02
0.751847,0.115282774,0.8919166,0.03
0.755296,0.116606385,0.8927354999999999,0.03
0.75724447,0.11462392,0.8939625,0.03
0.75271803,0.11603196,0.89261055,0.03
0.751847,0.115282774,0.8919166,0.04
0.755296,0.116606385,0.8927354999999999,0.04
0.75724447,0.11462392,0.8939625,0.04
0.75271803,0.11603196,0.89261055,0.04
0.751847,0.115282774,0.8919166,0.05
0.755296,0.116606385,0.8927354999999999,0.05
0.75724447,0.11462392,0.8939625,0.05
0.75271803,0.11603196,0.89261055,0.05
0.751847,0.115282774,0.8919166,0.06
0.755296,0.116606385,0.8927354999999999,0.06
0.75724447,0.11462392,0.8939625,0.06
0.75271803,0.11603196,0.89261055,0.06
0.751847,0.115282774,0.8919166,0.07
0.755296,0.116606385,0.8927354999999999,0.07
0.75724447,0.11462392,0.8939625,0.07
0.75271803,0.11603196,0.89261055,0.07
0.751847,0.115282774,0.8919166,0.08
0.755296,0.116606385,0.8927354999999999,0.08
0.75724447,0.11462392,0.8939625,0.08
0.75271803,0.11603196,0.89261055,0.08
0.751847,0.115282774,0.8919166,0.09
0.755296,0.116606385,0.8927354999999999,0.09
0.75724447,0.11462392,0.8939625,0.09
0.75271803,0.11603196,0.89261055,0.09
0.751847,0.115282774,0.8919166,0.1
0.755296,0.116606385,0.8927354999999999,0.1
0.75724447,0.11462392,0.8939625,0.1
0.75271803,0.11603196,0.89261055,0.1
0.751847,0.115282774,0.8919166,0.11
0.755296,0.116606385,0.8927354999999999,0.11
0.75724447,0.11462392,0.8939625,0.11
0.75271803,0.11603196,0.89261055,0.11
0.751847,0.115282774,0.8919166,0.12
0.755296,0.116606385,0.8927354999999999,0.12
0.75724447,0.11462392,0.8939625,0.12
