NVMe_total_util,CPU,Memory_used,num_workers
0.94528735,0.68819386,0.91745645,0.01
0.95356226,0.6965384,0.9232548,0.01
0.95375335,0.69696796,0.9236340000000001,0.01
0.91048396,0.6504734000000001,0.8902954,0.01
0.94528735,0.68819386,0.91745645,0.02
0.95356226,0.6965384,0.9232548,0.02
0.95375335,0.69696796,0.9236340000000001,0.02
0.91048396,0.6504734000000001,0.8902954,0.02
0.94528735,0.68819386,0.91745645,0.03
0.95356226,0.6965384,0.9232548,0.03
0.95375335,0.69696796,0.9236340000000001,0.03
0.91048396,0.6504734000000001,0.8902954,0.03
0.94528735,0.68819386,0.91745645,0.04
0.95356226,0.6965384,0.9232548,0.04
0.95375335,0.69696796,0.9236340000000001,0.04
0.91048396,0.6504734000000001,0.8902954,0.04
0.94528735,0.68819386,0.91745645,0.05
0.95356226,0.6965384,0.9232548,0.05
0.95375335,0.69696796,0.9236340000000001,0.05
0.91048396,0.6504734000000001,0.8902954,0.05
0.94528735,0.68819386,0.91745645,0.06
0.95356226,0.6965384,0.9232548,0.06
0.95375335,0.69696796,0.9236340000000001,0.06
0.91048396,0.6504734000000001,0.8902954,0.06
0.94528735,0.68819386,0.91745645,0.07
0.95356226,0.6965384,0.9232548,0.07
0.95375335,0.69696796,0.9236340000000001,0.07
0.91048396,0.6504734000000001,0.8902954,0.07
0.94528735,0.68819386,0.91745645,0.08
0.95356226,0.6965384,0.9232548,0.08
0.95375335,0.69696796,0.9236340000000001,0.08
0.91048396,0.6504734000000001,0.8902954,0.08
0.94528735,0.68819386,0.91745645,0.09
0.95356226,0.6965384,0.9232548,0.09
0.95375335,0.69696796,0.9236340000000001,0.09
0.91048396,0.6504734000000001,0.8902954,0.09
0.94528735,0.68819386,0.91745645,0.1
0.95356226,0.6965384,0.9232548,0.1
0.95375335,0.69696796,0.9236340000000001,0.1
0.91048396,0.6504734000000001,0.8902954,0.1
0.94528735,0.68819386,0.91745645,0.11
0.95356226,0.6965384,0.9232548,0.11
0.95375335,0.69696796,0.9236340000000001,0.11
0.91048396,0.6504734000000001,0.8902954,0.11
0.94528735,0.68819386,0.91745645,0.12
0.95356226,0.6965384,0.9232548,0.12
0.95375335,0.69696796,0.9236340000000001,0.12
0.91048396,0.6504734000000001,0.8902954,0.12
0.94528735,0.68819386,0.91745645,0.13
0.95356226,0.6965384,0.9232548,0.13
0.95375335,0.69696796,0.9236340000000001,0.13
0.91048396,0.6504734000000001,0.8902954,0.13
0.94528735,0.68819386,0.91745645,0.14
0.95356226,0.6965384,0.9232548,0.14
0.95375335,0.69696796,0.9236340000000001,0.14
0.91048396,0.6504734000000001,0.8902954,0.14
0.94528735,0.68819386,0.91745645,0.15
0.95356226,0.6965384,0.9232548,0.15
0.95375335,0.69696796,0.9236340000000001,0.15
