NVMe_total_util,CPU,Memory_used
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
0.92265576,0.6201029,0.97972333
0.9217894,0.61982244,0.9787969999999999
0.9223886999999998,0.61960423,0.9794283000000001
0.921767,0.62028104,0.97900176
